Unnamed: 0,statement,status
351,"Why is it that if there are a lot of people talking in front of the house, there are too many motorbikes that pass by, the feeling is immediately restless, afraid, gt",Anxiety
352,"Usually every night when you're alone you're restless, it's calm. It feels so different.",Anxiety
353,"you can worry, you can worry. no one forbids.",Anxiety
354,duhh why am I worried tbtb,Anxiety
355,"I'm tired, aren't I, lately I've been nervous about something, I want to hurry up and wait for the time to come and then it's over huh '‹",Anxiety
356,I'm worried about speed,Anxiety
357,"Happiness and sadness move in one door, no need to worry about this life process.",Anxiety
358,"Don't worry, your story is written by the best screenwriter",Anxiety
359,Vala lage na ar,Anxiety
360,Mama eto pera kan life e,Anxiety
361,Fuck the life,Anxiety
362,Go to hell,Anxiety
363,Fucking hate you,Anxiety
364,Hell yeah varsity life,Anxiety
365,Why so much pressure?,Anxiety
366,I can't take any more pressure pls!,Anxiety
367,I want to exhale the restlessness in my chest with my breath,Anxiety
368,Porasonar mayre bap,Anxiety
369,Baler question kore rakhce,Anxiety
370,Vai exam eto kharap hoice,Anxiety
371,Chintay matha betha kortece,Anxiety
372,Get out ,Anxiety
373,I am fucking tired of everything,Anxiety
374,"It's getting closer to Eid Al-Fitr, there is a feeling of restlessness and restlessness even though I can cover it with my smile.. It's been almost 8 years of Hari Raya without meaning and getting used to it... Just be grateful to Allah that I can still fast for Ramadan and Eid... That's it",Anxiety
375,I don't like feeling like this!! Kind of restless,Anxiety
376,Restless tonight,Anxiety
377,I've been restless since yesterday :(,Anxiety
378,3 days anxious tremor,Anxiety
379,Still hopeful,Anxiety
380,"I want to ask. I'm an extrovert, but the more I come here, the more scared I am when I meet a lot of people, I feel anxious right away. Does anyone know why that is?",Anxiety
381,"Why is it that every time I do my job I'm always restless, I'm so dizzy, it's so hard I can't focus, please",Anxiety
382,Why am I nervous,Anxiety
383,"Oh God, why am I in this house by nature angry, angry, anxious, anxious, restless, when my mouth is open, my heart is full of malice",Anxiety
384,"I'm so worried, even though tomorrow is just a presentation...",Anxiety
385,"Lately, I've been feeling anxious, restless, sad, but I'm still feeling sad because na, kabeh comes naturally. Strange.",Anxiety
386,"I'm so worried, my cellphone is about to fall again",Anxiety
387,"Moving forward is hope, Quitting is despair. Restless hope is better than despair..#morethanfriends",Anxiety
388,So when the time comes I won't be surprised anymore and won't be overly disappointed. I lowered my expectations amidst the many possibilities. That I undo because I know and self-aware. Now I shouldn't be nervous anymore right? But why am I still not ready?,Anxiety
389,ORIGINAL ORIGINAL AT THE END OF THIS END IS ANGRY EVERY HOURS 22.00 FEAR THE MIXTAPE COMES OUT,Anxiety
390,It's too lazy if every day the default is constantly restless for no reason,Anxiety
391,"Can I skip this or not? To be honest, I don't really have any feelings of anxiety, I just thought about it, do you think I can survive in this place or not??",Anxiety
392,"Why do thoughts in the future always make you anxious, even though it is not necessarily the case. Whyyyyy? I'm so dizzy. Pdhl has encouraged himself to calm down, be patient, take it slow. Is there any medicine?",Anxiety
393,"Compromise to your heart's content. Restless , upset , happy , sad . It's like riding a gondola but don't know when to get off the ride.",Anxiety
394,"I'm easily restless, even fake.",Anxiety
395,"I'm really nervous, why is it, I don't have much worship..",Anxiety
396,"Overthinking, restless, dizzy, tired, wants to cry, sucks in starting to enter the room",Anxiety
397,Why is this guy so restless,Anxiety
398,"I'm lazy to work, if I often feel anxious",Anxiety
399,"It's been about 5 years (mid 2016) for the last time I felt this feeling of anxiety and lack of motivation. Now it appears again. Oh my God, what should I do..",Anxiety
400,Slowly I want to talk about feeling uneasy with the situation,Anxiety
401,"FEAR, GIVE UP, WORRY, YES HOW YES???",Anxiety
402,"Help ma mental... It's really like this... .I just told myself this afternoon that you're great, great because of your anxiety and overthinking you haven't appeared in a few months, but why is it now showing up again ️",Anxiety
403,how come there are so many senders asking me to make you cry and then explain the tags like literally brutal.. I'm a little worried..,Anxiety
404,Dancing on the edge of restlessness,Anxiety
405,"If you are at home alone, you like to be anxious, gtu, taxi?",Anxiety
406,"When I re-read the soft file proposal, how come there are so many mistakes. But how do you want the file to be distributed, it's getting more and more anxious.",Anxiety
407,"Ptn! What do you think about fasting on social media after utbk? I'm really worried that I don't want to open social media, but I can't use Twitter because I need information to register",Anxiety
408,Why is this feeling uneasy? I consider my manager like my own mother even though the age difference is only a year older. ..Or am I interested in the motherly soul huh,Anxiety
409,"It's this kind of anxiety that I don't likeðŸ˜ .Suddenly crying incoherently, chest pain, shaking etc... .But thank God I never had any intention of hurting myself",Anxiety
410,so it's like this.. the authors never wanted to post or chat but when rereading it cringe gt.. i'm afraid the readers won't like it... i'm wb + not very confident... i'm restless... hhhhh,Anxiety
411,"Very sad, I feel heartbroken even though I don't know the reason",Anxiety
412,Like to worry about the future,Anxiety
413,"Alone, accompanying you in silence. Throwing all restlessness in your heart. Trying to find peace of mind. Who has been betrayed all this time",Anxiety
414,"Restless, Restless, Restless",Anxiety
415,"It's been a few days that I haven't slept very well, I'm very restlessðŸ¥²",Anxiety
416,Why are you so restless,Anxiety
417,"Just for Eid this year, I'm a little worried about the template questions that people often complain about. Oops, what's the answer?",Anxiety
418,tired and restless,Anxiety
419,"I'm nervous by nature, confused, nervous, when it's people, just relax :)",Anxiety
420,"When the heart is sad, restless and filled with despair, remember that only to God do we complain.",Anxiety
421,"mentally down because social media is not that good :""/ you're worried but can't do anything :((",Anxiety
422,"Heart disease that is hard to get rid of: it's really hard not to be curious about other people's lives, you're jealous to the point of restlessness. Any tips?",Anxiety
423,"Why are you worried about getting lost? The panic feeling is also really annoying, not just crying that bothers you. Kayak hey wft!",Anxiety
424,anxious,Anxiety
425,Nightmares of a few minutes make you anxious and uninspired for days,Anxiety
426,"Restless, upset if there is no news all day..",Anxiety
427,"I'm getting more and more restless, and I'm crying as much as I can, and they just look at me crying, and they say, don't worry, sis, it's okay, you're okay here, you just need to rest, what do you want, just say it, we'll follow your request, except for 1 i.e. run away, you'll know later",Anxiety
428,restless restless accompanying,Anxiety
429,"Help! Lately, whenever I meet a lot of people I don't know, I always feel really dizzy, my stomach suddenly feels nauseous, anxious, panicked. How do you solve it? And why is that?",Anxiety
430,"As the day draws near, I'm overthinking a lot, oh my god. Calm my restless heart """,Anxiety
431,Anxiety for no reason. How come?,Anxiety
432,"It just felt like a storm, rumbling, boisterous, restless and quite stifling.",Anxiety
433,3G.. anxious and restless,Anxiety
434,I'm so restless when I can calm down y,Anxiety
435,"It's been a long time since I've been here, I'm suddenly restless + crazy chest pain",Anxiety
436,restless upset languishing,Anxiety
437,"Just shut up, you know it's there. Afraid, still anxiously waiting for this month ™ »",Anxiety
438,"Kinda not very excited. Restless, many thoughts, bored, confused, sad, angry, afraid, frantic. Ah...",Anxiety
439,"guys, how do you not get triggered easily? tl I'm still sad, I'm sad too... now I feel nervous and anxious, I want to cry.",Anxiety
440,"Usually I sleep well every afternoon, I just want to rest for a while, I feel restless because the task hasn't been completed yet",Anxiety
441,"Wehh, I just woke up, I was immediately worried, scared to run out, I didn't like it.",Anxiety
442,"Don't worry too much, your story is written by the best screenwriter",Anxiety
443,Actually you know that the cure for your anxiety and confusion is by praying to God. But why do you still forget Him. #PeelGunda,Anxiety
444,"restless and emotional like PMS again, even though it's over. it doesn't feel very comfortable. kesenggol stik wants to cry. – istighfar a lot",Anxiety
445,"want to sleep restless, wake up restless. what do you want to die for?",Anxiety
446,Emotional when PMS is motivated by insecurity which also increases due to these hormones. I don't know why I will feel anxious about many things for no reason even if there is a reason it's just too much to say ™ƒðŸ™ƒðŸ™ƒ,Anxiety
447,"I feel so restless, why?",Anxiety
448,restless oh nervous.,Anxiety
449,always worried about tomorrow,Anxiety
450,"If you're blank and restless, your typing will be random",Anxiety
451,I'm so nervous :(,Anxiety
452,"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",Anxiety
453,Looks like I'm going to leave WhatsApp aka I don't want to open it often because I don't know why I'm worried every time I open it,Anxiety
454,This week really can't calm down– there's just something that's bothering me,Anxiety
455,Very restless huh,Anxiety
456,Have you ever been... you're honest but you're the one who's restless hh,Anxiety
457,confused and restless. This heart seems to die. When you change,Anxiety
458,Can't sleep restless,Anxiety
459,"Why is it, every time you want to do something, you get nervous..",Anxiety
460,"I'm mute, stuck in a dream sheet. I flinch when the clink of time calls out to me. I wake up, restless",Anxiety
461,"It's true, it's okay to be nervous, it's really okay to get it""",Anxiety
462,"Have you ever felt anxious every day because you were worried about the future, just kept thinking about it all day, to be honest, I'm really tired, I'm really tired, I just have to have a lot of ABCDEFG plans for the future, I can only say to myself ""yo, cheer up yo"" :')",Anxiety
463,why is this.. suddenly very nervous,Anxiety
464,"I'm restless, I'm languishing every night, it's really hard when I'm tired",Anxiety
465,"Restless, heart pounding. Fix anxious again :)",Anxiety
466,"Don't worry, don't worry",Anxiety
467,"I wonder why lately I've been nervous when it's already above 9 o'clock, even though there's no problem. How do you prevent anxiety?",Anxiety
468,"This morning, I'm anxious, anxious, dizzy, dizzy, not nauseous, until all the contents of my stomach are out, my heart is pounding wildly, ah, I'm scared. I wonder what if I die. I'm really scared :'""",Anxiety
469,let this anxious rest ok. please this,Anxiety
470,"Believe me, he loves you very much.. It's just that you are too worried about losing, because you have fallen so many times",Anxiety
471,The highest level of miss is when you are worried about him for no apparent reason.,Anxiety
472,"At first, I just did it, in the end I started to feel worried and anxious about the situation.",Anxiety
473,"Actually, I'm just happy to be happy right now, but yeah, I really like being nervous all of a sudden",Anxiety
474,why do you suddenly worry too much with cold sweat :))))),Anxiety
475,I'm upset restless languishing,Anxiety
476,"If you're nervous, you can't sleep normally.. this one is more fun, can't sleep too :)",Anxiety
477,"stop disclaimer depression is easy... depression is sick, it's not good to be tired, mental illness isn't just depression",Anxiety
478,"dizzy, restless, shaking so one solid buddy",Anxiety
479,"If you are already a mate, all doubts will be whole, all worries will surely come true",Anxiety
480,"So often restless in the middle of the night but for no reason, why is this",Anxiety
481,I don't know why he's so restless today,Anxiety
482,"Finally able to breath & eat after taking Miko to see the doctor. Moreover, the condition is not as serious as the other doctor thought...I thought that my anxiety disorder was serious too.. I panicked about the situation & Miko's condition until this afternoon couldn't think + nausea + wanted to throw up. Almost panic attack",Anxiety
483,Feeling restless inside,Anxiety
484,"I'm small. I praise myself. other people are discouraged, I'm restless, wondering how to make things better. I'm nothing.",Anxiety
485,Always haunted by anxiety,Anxiety
486,"Everything feels so short and for now starting to be afraid to lose, starting to feel anxious about various things, somehow if it really happened",Anxiety
487,Why am I getting anxious at the end of the day?,Anxiety
488,I don't know why tbtb is restless not calm,Anxiety
489,Sunday calm but restless ©,Anxiety
490,"It's true, it's okay to say it's too late just because of that yes, that's all, but it really makes stress and anxiety uncontrollably ",Anxiety
491,"Have you ever felt like you're sad but you're not sad, you feel like you're nervous but you don't know what you're confused about, you just want to sleep but you can't",Anxiety
492,"Why is it that I'm CB dreaming this time, I'm really nervous, I don't know why?",Anxiety
493,"No need to worry, your story is written by the best screenwriters",Anxiety
494,"Nurture your own mind, don't be anxious and nervous, because by His side are calm souls.",Anxiety
495,Still very anxious £,Anxiety
496,It's a different time to be so restless,Anxiety
497,"How do you not think about negative things and don't get anxious easily, how do you want to live calmly without thinking every minute that you shouldn't be thinking about it..",Anxiety
498,"the habit of chatting for a day, gadicchat immediately restless ™ƒ YES TP IS THE TIME I CHAT FIRST THE FACE W WANT TO TARO WHERE",Anxiety
499,I'm dancing on the edge of restlessness. Craving a lost soul,Anxiety
500,pls I'm so restless I can't sleep ,Anxiety
501,"Body aches, sleepless nights, anxious thoughts, what are the signs?",Anxiety
502,a little worried but it's okayyy,Anxiety
503,"anxiety, fear, overthinking at the same time can be called a panic attack, right?",Anxiety
504,"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",Anxiety
505,"Some make you anxious, some make you worry so you can't even think about what this is–",Anxiety
506,"You must be firm in facing the problem, rather than worrying about its torture against you",Anxiety
507,"Oh my God, I don't know why my heart is restless :(",Anxiety
508,"Then when will I be graduated, my juniors have already arrived. My heart is worried that it's still like this, my best friend has dropped out",Anxiety
509,why are you so worried,Anxiety
510,"Every Sunday, you must be nervous, thinking about Monday tomorrow.",Anxiety
511,"Seriously, I've never been worried about getting older, but how come I'm 24 this time, I'm really worried, it feels like ""my time is running out"".",Anxiety
512,"wake up restless, want to sleep restless",Anxiety
513,maybe I'm nervous like this,Anxiety
514,"Oh my, I'm the one who's worried :(",Anxiety
515,"I have finished all my tasks from yesterday, but why is this heart restless? feel like something bad is coming?! ......",Anxiety
516,"Once gassi like each other, it's okay. ANJEEEEEEEER EASY DAY.",Anxiety
517,"Ah, I want to tell you, I'm tired and suddenly panicked and thought about it. It really interferes with the activity. Especially now, UTS. It's been a long time, and it always bothers me, if it's like this, I can only cry. I hate sudden panic and anxiety because it's hard to think",Anxiety
518,"Prolonged stress, depression every night, feeling restless, have risen many times but the results are zonk, feel that relying on God is useless? Hey!! Try to ""give up"" :)",Anxiety
519,"To be honest, even rich people think I'm lying. Clumsy and anxious",Anxiety
520,why are you always restless?,Anxiety
521,"Already restless, overwritten by restlessness, crushed by despair. Finally all broke. God job.",Anxiety
522,why have you been worried lately + anxiously,Anxiety
523,"What worries me is when the expectations are high, even though logically such a reason should be accepted",Anxiety
524,"hng, why are you so nervous :(",Anxiety
525,restless restless accompanying,Anxiety
526,"Ask for prayer. I'm really scared hehehe I'm really worried. Anyway, ask for prayer",Anxiety
527,"gps, restless panic",Anxiety
528,Feeling restless it's been a few months not making a living with creativity,Anxiety
529,"Honestly, there is one person who is willing to be my home. Tell me when I'm wrong, comfort me when I'm nervous, and hug when the world is tired. I tried to survive on my own, but in fact it took a long time to become okay.",Anxiety
530,Usually no later than 9 am already asleep. This is because the thought of something is even restless,Anxiety
531,"These few days every time you sleep restlessly, I don't understand why :(",Anxiety
532,"Maybe that's the phase, in your 20s, you feel like you're just living like this, it's like you haven't done anything yet, overthinking future problems has made you so anxious.",Anxiety
533,Feeling anxious for no reason,Anxiety
534,"When nervous is worse, it turns out that it's better to be told to wait than to be messed up like this",Anxiety
535,WHY ARE YOU VERY EASY??? WHY HAVE YOU ARRIVED ANXIETY LIKE THIS,Anxiety
536,Through the day has not calmed without saying good morning. Through the night continues to be restless without saying goodnight..,Anxiety
537,"faced with extraordinary emotions, stagnation and anxiety but it is forbidden to remove it. very bad situation.",Anxiety
538,"This is the first time I'm nervous, ling lung, worried that my husband will never end to go offshore. Even if you just want to pass 2 days, the stress feels like centuries.",Anxiety
539,I'm tired but my body is restless,Anxiety
540,"Some days I'm very restless when I want to sleep. When you go to sleep, you don't realize anything, why are people fainting",Anxiety
541,"A heart devoid of prayer and praise to God - easily restless, impatient, and angry for no reason.",Anxiety
542,"It's a habit when you're already anxious, you're going to throw up",Anxiety
543,when you want to travel or do something you must be restless and can't sleep,Anxiety
544,"what needs to be done today already, but still feeling restless",Anxiety
545,Why am I a little worried :(,Anxiety
546,"Restless, upset if there is no news all day..",Anxiety
547,"I can't sleep, I'm so restless thinking about the future @ @",Anxiety
548,"If you are afraid or feeling anxious, what do you do?",Anxiety
549,It's been a few nights when I've only slept for an hour hehe I'm so restless,Anxiety
550,"Do you know? My chest is tight, anxious, I want to cry but when I cry, the tears don't come out. Heheheh.....",Anxiety
551,"Ah I see, it seems that nausea is caused by being too anxious :)) It's really scary when you're overthinking..",Anxiety
552,"Can't sleep tonight, why are you so restless?",Anxiety
553,"A little worried, a lot of broth",Anxiety
554,"Loss of appetite, weight loss, excessive anxiety, often crying, is this what is called depression?",Anxiety
555,I'm worried that the bad effects make my head hurt like I'm scared :(,Anxiety
556,I feel so restless why are you sorry,Anxiety
557,"I don't know why. The body is limp, the brain is not clear, and the self is restless.",Anxiety
558,"Some days feel different, I don't know what it feels like to be restless",Anxiety
559,I'm so nervous :( I can't stop crying. I still can't believe I'm out of bed again '”,Anxiety
560,"I had to be firm about the problem, rather than worry about the thought of her torturing me.",Anxiety
561,why do you like to be nervous for no reason,Anxiety
562,why is my heart so restless,Anxiety
563,"Don't worry Sil, don't",Anxiety
564,"Don't make decisions when you're not fit, let alone the market is blushing red because of anxiety, fear and your psychological condition is not good #notetomyself #learningcrypto",Anxiety
565,"Get rid of this restlessness, Amen.",Anxiety
566,"If there are people who are really nice to me, I get confused myself, sometimes I get nervous, I get really dizzy thinking about how to repay the kindness and what if I can't repay the kindness :((((",Anxiety
567,On the sidelines of anxiety there may be a longing that we must reap together.,Anxiety
568,Very worried,Anxiety
569,adults are like this. last night was restless and restless. tomorrow morning like nothing happened,Anxiety
570,"guys, do you have the same cake as me? I like being scared but I don't know what to worry about :((",Anxiety
571,"Sometimes feel anxious because tomorrow. .Tired of thinking. I have to rest. In the end, it looks green, but it's stressful again. .It's really a cycle huhuuuu -.-",Anxiety
572,,Anxiety
573,The whole day feels restless,Anxiety
574,"You can't doubt God, but sometimes that feeling of anxiety appears, it's not very clear!",Anxiety
575,Insom + restless every day,Anxiety
576,"Are you worried about what kind of pkp? His name is pkp but he's just like normal, later on, you guys watch it later #kerajaanbebal",Anxiety
577,very nervous gatenanggg asdmekendd,Anxiety
578,"So sad, I really want to cry. don't like it. make restless.",Anxiety
579,"Oh, I like to be anxious all of a sudden, why are you",Anxiety
580,I'm not panicking but I'm nervous,Anxiety
581,"every night overthinking, anxious, nervous..every time I do activities that I don't like, I always feel nauseous and have stomachaches. sometimes if you think too much it gives you a headache :(",Anxiety
582,"Between sad, anxious, ah! Gtw deh",Anxiety
583,Dilemma. confused. restless... what should I do tomorrow... //,Anxiety
584,"First of all, I'm really sorry that this account doesn't work as expected. I don't know why I'm sad now, I'm nervous, I don't want to give up, I often panic... I know time is running, I really try so hard but I'm sorry again"" cin failed... Sorry everyone, I can't tell you positive things :)",Anxiety
585,"Overthinking, lonely, anxious, bad mood, sad, reminiscing about things that make you feel uncomfortable... Just keep going",Anxiety
586,"If you're nervous for no reason, why the heck?",Anxiety
587,Looking for a job and the prospect of becoming unemployed makes me nervous ”,Anxiety
588,"It's really hard to be ""stupid"" or ""okay"" with things that disturb your mind. Grandpa, you really have to think about the reason why this happened, you really have to think about how it affects you, just to make the brain not stop thinking, and make the heart restless. Arghhh",Anxiety
589,"Damn, I can't calm down since earlier. I'm really nervous",Anxiety
590,what youtube do you watch so you don't get nervous,Anxiety
591,"When I go back to work, I suddenly feel anxious, feeling anxious and I don't know why :(.",Anxiety
592,"A restless heart is that people are always looking for other people's faults, until they forget that they often make mistakes themselves.",Anxiety
593,"[cm] Joining a campus organization is actually this tiring, isn't it? Not only physically tired, but also mentally tired. I always want a meeting always scared, always anxious, always want to cry. I want to give up but in fact giving up is harder than holding on",Anxiety
594,Suddenly restless. Nobody wants to make Spaces like that. Let's hear the klean talk.,Anxiety
595,,Anxiety
596,"I'm so restless feeling that I can't calm down, my mind isn't calm but I don't know what to think",Anxiety
597,"Grandpa, it's hard to sleep, people are restless, sleep in a while, wake up again, wake up again, duh, tips on how to sleep, don't have to feel restless this time ”",Anxiety
598,Why are you so nervous,Anxiety
599,"btw nutmeg I always get dizzy when I wake up, plus I feel restless after spending personal money for school fees huft",Anxiety
600,I've been restless ever since,Anxiety
601,Anxious to mute wa from someone,Anxiety
602,being restless since noon but being ignored,Anxiety
603,Restless all over the body; disheveled mood; do not know the direction; hurry over.,Anxiety
604,Anxious every weekend here,Anxiety
605,"I am in a phase where I am worried about the future, but we must leave positive thinking and trust everything to God while trying and praying for the best results.",Anxiety
606,getting restless «,Anxiety
607,Why am I even so nervous?,Anxiety
608,"If your heart is sad and no one listens to your worries, just come to Allah, he will understand what's in your heart...",Anxiety
609,"It's been a week of restlessness, thx",Anxiety
610,"wake up so restless, why is that",Anxiety
611,"insecure, afraid, anxious, doubtful, disappointed.",Anxiety
612,"Yes, the point is that I feel tired, sad, annoyed, restless. It's like the feeling is mixed in my heart and mind, in my brain I'm traveling various things from problems to happiness that I've felt until this moment.",Anxiety
613,Hmm why are you so nervous,Anxiety
614,restless and worrying too much,Anxiety
615,"When the effects of the depressant have started to wear off and the depression phase has started, it's really tiring",Anxiety
616,Going through a phase where anxiety continues to haunt,Anxiety
617,"It's been a week but I still haven't received a reply, aka I'm really looking forward to it",Anxiety
618,"H-2 I have a really bad feeling, I'm nervous, confused and miserable, like I'm not calm like that. I have mixed feelings, I don't feel very good",Anxiety
619,"Feeling restless, even though I'm fasting",Anxiety
620,"Worried, nervous, sad, all mixed up. That's how it is :')",Anxiety
621,Tbtb so worried sorry,Anxiety
622,ugh I'm nervous,Anxiety
623,"I'm so nervous, what's going on :(",Anxiety
624,"there is a task to complain, there is no task to worry, wonder",Anxiety
625,"If you are able to be grateful for what God has given you, you will not worry about what is not yours. #D4rkBOT",Anxiety
626,"lazy like this if you are in a position of restlessness, indecision, confusion. make a decision :(",Anxiety
627,"Because there's no sleep, I can only sleep at 7 o'clock in the morning but I wake up at 8 o'clock... Then I can't sleep again until the afternoon just sleeps for only half an hour.... At 00.55 I suddenly feel restless, short of breath, & I want to cry.. why am I here again ' even though I'm not thinking about anything anymore",Anxiety
628,"Every night sometimes I feel like my heart is empty, restless, I don't know what to do",Anxiety
629,"It's been 3 weeks I feel really tired. The heart is pounding, the body is spooky, cool, in this brain's head it doesn't stop thinking about things, isn't it. The feeling of not being needed, the feeling of being ignored.. The soul is restless. Nervous. Afraid.",Anxiety
630,"Why do I think the more I think that having a relationship is happy, the more I worry, fear, worry :((",Anxiety
631,"I haven't felt this for a long time but I came back last night. Feeling restless, worried, cranky, but I'm borrowing my laptop again, I want to tell you to return it quickly but I don't dare to make a fuss, MasHam, it's not comfortable to quickly go home, even though it's more than 9 o'clock at night",Anxiety
632,"I'm nervous about every plot of pictures on the next account, it's like trauma is being crushed by random humans even though my pictures are fine, it's not offensive or anything.",Anxiety
633,"let me strum the guitar, believe me.. all your complaints, worries, anxiety, sadness and confusion will disappear instantly",Anxiety
634,Anjir worried I was too much,Anxiety
635,Restless and agitated,Anxiety
636,"How about you, basically, you are a loner, where is the mental health when you are not healthy, the more it is getting better. the intention to upgrade myself is even more anxious",Anxiety
637,I am restless but in You is Peace,Anxiety
638,Ever been the most anxious to the point of being forced to be the most sincere,Anxiety
639,"Don't worry, karma is there, hauuuhzzzz",Anxiety
640,really worried but i don't know why,Anxiety
641,Sometimes I worry about the future...At least for now I am still given the opportunity to be grateful and increase charity.,Anxiety
642,"restless and restless, want to be angry",Anxiety
643,"Oh God, why is it so hard to get to know new people now, scared, worried, worried... Tremors again. I'm so afraid of myself",Anxiety
644,Why are you restless at night..,Anxiety
645,Hoo so that's the problem that's been bothering me since Monday,Anxiety
646,"I hate that every time I worry again, stay up late again, worry again, stay up late again... I'm confused.",Anxiety
647,"I swear my teacher is full of surprises, it makes me anxious",Anxiety
648,"why when you're worried, it hurts so bad it's hot and cold",Anxiety
649,"Anxiety continues every month, especially when you're out of the house",Anxiety
650,why am I the dean why huh?? I'm really nervous,Anxiety
651,"Why is it so hard to control my sleep schedule lately :( I feel like I have something to be afraid of, I'm worried, even though my head is really dizzy. I can even sleep an hour before sahur. Previously, there were no sleep disturbances at all, but my eyes hurt, but hard to guarantee.",Anxiety
652,"tips, so you can sleep well, relax, so you don't get restless..",Anxiety
653,"Restlessness and restlessness is a â€œVirusâ€ disease of the liver. So, treat it with ""Eat and drink vegetable heart"" (Patience, Tawakkal and Zikrullah). God willing, liver viruses will die and disappear because of it... by hizboel",Anxiety
654,"I'm so nervous, what's wrong?!",Anxiety
655,Need to get rid of various kinds of thoughts that make you anxious...,Anxiety
656,"Lately, I'm getting more and more restless, why isn't it?",Anxiety
657,been the most anxious before being the most sincere,Anxiety
658,"Oops, why are you all cold, you keep getting nauseous, restless, your mouth is sour and cold, that's really not good",Anxiety
659,I never thought I was bpd. I think I'm just worried and depressed. turns out to be worse than that,Anxiety
660,"The brain is now full of stressful thoughts. I feel like I'm about to explode, nervous, sad, scared, all mixed into one",Anxiety
661,Restless and happy at the same time this is so,Anxiety
662,"Don't worry, don't know why",Anxiety
663,"Since college, I've been worried all the time, thinking about work and surviving when I'm offline",Anxiety
664,this is so restless oh my god what's up,Anxiety
665,but my heart is still restless even though my mouth is talking,Anxiety
666,"I also feel like a person who is not good at being grateful. If you want to relax, you still feel restless",Anxiety
667,"If I worry about people, my chest always hurts. Please don't worry :(",Anxiety
668,"He said after the trial he could sleep peacefully, what the hell, my dog ​​is still restless now",Anxiety
669,Seems like every time I want to sleep I'm worried like I can't sleep,Anxiety
670,-dips! Anyone else not busy? Anyone want to hear me vent? I don't know why I'm so worried :),Anxiety
671,why is it that lately i like to be restless.. huftt,Anxiety
672,"Damn, it's raining heavily accompanied by restlessness that hit",Anxiety
673,"If you are able to be grateful for what God has given you, you will not worry about what is not yours",Anxiety
674,"When the swaddle is gone, hand & her legs look restless & nervous",Anxiety
675,"Pls want to sleep from being restless, why are you",Anxiety
676,People expect it's not really that good. .Life is restless. This is how to get rid of it?,Anxiety
677,restless can't sleep hm,Anxiety
678,Ya Allah can't sleep I'm so worried,Anxiety
679,Don't worry about yourself,Anxiety
680,"Restless, restless, anxious. Please be anxious.",Anxiety
681,"restless heart, sleep is difficult.",Anxiety
682,"Restless, upset if there is no news all day..",Anxiety
683,"I'm nervous, worried but I don't know why",Anxiety
684,"3 nights, I'm restless, dumbfounded and then cry, I'm mentally ill. I'm so weak",Anxiety
685,oh I'm so nervous,Anxiety
686,"I can't sleep... I'm restless, no one hugs me . Even though I usually sleep, no one hugs me ”",Anxiety
687,"I swear anj from td why sii, I like to be nervous tbtb for no reason ©",Anxiety
688,"thanks! I'm really worried and I can't stand myself until I feel really weird physically. Usually I always take medicine from my doctor, but I usually when I'm worried about taking the medicine, I feel even more anxious, and in the morning my whole body hurts. I should how? (cont.)",Anxiety
689,"How to get rid of anxiety, please, I want to be normal",Anxiety
690,"Tonight I'm so nervous huhu what's wrongðŸ˜""",Anxiety
691,"scared, worried, I don't know, it's all mixed up",Anxiety
692,"don't be nervous, and don't worry. When the time comes, you'll know what to do. ~Walt Disney",Anxiety
693,"One day you have to reply, you are worried, you are appreciated, you are made to cry, you are underestimated. .Get ready, wae, kuwi kabeh ra kepenak rasane.",Anxiety
694,Restless and restless,Anxiety
695,really like worry panic,Anxiety
696,Restless ha ha,Anxiety
697,Why do you feel traumatized and lazy to be in that moment and be in that place â excessive anxiety,Anxiety
698,"Do you understand if you hear the cellphone ringtone from wa or telephone or whatever, you are worried, afraid of yourself.",Anxiety
699,"I feel afraid of my own mother. If you are close, your body will immediately sweat, you will be anxious, your heart will beat really fast",Anxiety
700,"I swear I was happy this time, eh, tbtb, I was immediately sad, afraid, worried, mixed:""",Anxiety
701,"I'm too worried, it's just a weekly event",Anxiety
702,"Oh God, why do I feel restless and uneasy?",Anxiety
703,Oh god I'm so worried,Anxiety
704,why are you feeling so restless,Anxiety
705,"O Allah, remove the restlessness in my heart.",Anxiety
706,"I rn: .. sluggish, tired, lethargic, limp, restless, anxious, nervous",Anxiety
707,"Anxious about the future, will it be gold or just moans.",Anxiety
708,why 3 days I brought him restless huhðŸ¤”,Anxiety
709,"Ado is nervous because he failed to damage the structure of the klrgo wong.  brags about your stepson. I'm still able to study until today, my parents paid for it. Ctek affects idk. Hanging out to drink and eat my edop? I'm not. Prcma bragging about your kprgo. My father is still able to keep his word.",Anxiety
710,Why are you so restless?,Anxiety
711,typing while crying & very worried,Anxiety
712,"This is crazy, the contents of my head are so full that it makes me nervous when I take it down wkwkwk",Anxiety
713,"just-have you ever been let down by your best friend to the point of feeling too anxious? I don't want to talk about him here, but I feel sorry for myself. like, girl i deserve better then this.",Anxiety
714,Is there anyone here who always feels restless every time they get older?,Anxiety
715,Can you worry too much or not disturb my sleep,Anxiety
716,"It turns out that being too far from God is difficult, isn't it? The heart is restless, and everything becomes restless.",Anxiety
